587,"COOP",94133,"GA","HEARD|MERIWETHER|TROUP","Hartwell",34.35,-82.92,210.31
589,"COOP",99141,"GA","JEFFERSON","Warrenton",33.4,-82.62,149.35
591,"COOP",98666,"GA","STEWART","Thomasville 3 NE",30.9,-83.85,73.15
593,"COOP",98064,"GA","BIBB|CRAWFORD|PEACH|TAYLOR|TWIGGS","Siloam 3 N",33.55,-83.07,211.84
595,"COOP",92283,"GA","BURKE|EMANUEL|JENKINS","Cornelia",34.52,-83.52,446.06
597,"COOP",94949,"GA","BALDWIN|HANCOCK|JONES|PUTNAM|WILKINSON","La Grange",33.05,-85.02,222.5
599,"COOP",95988,"GA","JASPER","Monticello",33.32,-83.68,157.89
601,"COOP",95314,"GA","COLQUITT|COOK","Louisville 1 E",33,-82.38,98.15
603,"COOP",92839,"GA","COWETA|FAYETTE","Dublin",32.55,-82.9,70.1
605,"COOP",93538,"GA","SCHLEY|SUMTER|WEBSTER","Fort Stewart",31.87,-81.62,28.04
607,"COOP",99157,"GA","BROOKS|LOWNDES","Washington 2 ESE",33.72,-82.7,188.98
609,"COOP",93754,"GA","CHATTOOGA|FLOYD","Glennville",31.89,-81.95,60.96
611,"COOP",93506,"GA","WASHINGTON","Forsyth 6 NNW",30,-83.93,195.07
613,"COOP",99186,"GA","BRYAN|CHATTAHOOCHEE","Waycross 4 NE",31.25,-82.3,44.2
615,"COOP",91732,"GA","GREENE","Cedartown",34.05,-85.23,239.27
617,"COOP",91982,"GA","TALBOT|UPSON","Clayton 1 SSW",34.85,-83.4,583.69
619,"COOP",97087,"GA","GRADY|THOMAS","Plains SW GA Exp Station",32.03,-84.37,152.4
621,"COOP",98740,"GA","BEN HILL|BERRIEN|IRWIN|TELFAIR|TIFT","Toccoa",34.57,-83.32,308.46
623,"COOP",95394,"GA","STEPHENS","Lumpkin 2 SE",32.02,-84.77,147.83
625,"COOP",98535,"GA","GLASCOCK|MADISON|WARREN","Talbotton 1 NE",32.68,-84.52,195.07
627,"COOP",90406,"GA","LINCOLN|TALIAFERRO|WILKES","Ashburn 3 NE",31.7,-83.62,132.59
629,"COOP",97777,"GA","PIERCE|WAYNE","Sandersville",32.97,-82.8,137.47
631,"COOP",311239,"NC","STANLY","Burlington Fire Stn #5",36.05,-79.43,201.17
633,"COOP",316256,"NC","WARREN","North Wilkesboro",36.15,-81.13,341.38
635,"COOP",314496,"NC","RANDOLPH","Jefferson 2 E",36.4,-81.42,844.3
637,"COOP",318964,"NC","BUNCOMBE","Wadesboro",34.95,-80.07,146.3
639,"COOP",310506,"NC","BEAUFORT","Banner Elk",36.15,-81.87,1149.1
